,MachineIdentifier,HasDetections,EngineVersion_FE,AppVersion_FE,AvSigVersion_FE,Census_OSVersion_FE,SmartScreen_BE_ExistsNotSet
4918,0023fb2397d4338ebb17e47690ce80aa,0,1,1,0.52173913,0.120805369,0
7597,003867f6dc638917a1c62f18e1f52c65,0,0.998826291,0.050600343,0.130434783,0.053691275,0
7400,0036e8d8012f5b978554eba64757d03e,0,0.998826291,0.050600343,0.086956522,0.191275168,0
3990,001d4a77de66604583e83477e48a9081,1,0.998826291,0.02915952,0.043478261,0.033557047,0
5119,00255fe77e33716b5621fdbeb7ffbfcb,0,1,1,0.086956522,0.191275168,0
2612,00133aececc7b8d7738a5566978cc14d,1,1,1,0.47826087,0.38590604,0
2670,0013a167c3b455e264916049a0ff3ebd,0,1,0.162950257,0.47826087,0.38590604,0
1725,000cbd02ccd8ae585178fc8edbc2b7cc,1,0.998826291,1,0.434782609,1,0
2080,000efa2b6bb867e136376ec7258a1976,1,1,1,0.043478261,0.083892617,0
4400,0020264855b4a24ed30cba203416e918,0,1,1,0.043478261,0.214765101,0
9584,0047a450f055a44139439dac827cb766,1,1,0.162950257,0.043478261,0.080536913,0
1415,000a983f46b91c9394b5d339b82f8336,0,1,1,0.608695652,0.291946309,0
9984,004a8fba62f2f174944bbf2b088dea7c,1,1,0.162950257,0.652173913,0.120805369,0
8383,003e765b6a9f9975e81d3bac0cdc601e,0,0.998826291,0.001715266,0.217391304,0.013422819,0
8480,003f3ffcbb631446105fc437ecf767f8,1,1,0.060034305,0.043478261,0.110738255,0
9179,0044b426b153df8c95288c6c9d3641b0,0,1,1,0.043478261,0.617449664,0
4374,001ff88fdd72acf742a2d4c699fe5e8a,0,1,0.017152659,0.043478261,0.020134228,0
3443,001950779d51e2327dbd06d9a3107f6d,0,0.998826291,0.050600343,0.347826087,0.157718121,1
512,0003c71b0742c1a9a6120c0881ebbb68,1,0.998826291,1,0.043478261,1,0
2356,0011227b2c39495569a47d06b70150dc,1,0.998826291,1,0.434782609,1,0
7096,00349612d98cb7b541bb47d4d5ce3bba,1,0.998826291,1,0.173913043,0.046979866,1
2406,00117e3e5eae2d0f20efdaa393286719,0,1,1,0.043478261,1,0
6182,002d52f48bc511ec4d454eb8517dc7d0,0,0.998826291,1,0.173913043,0.38590604,0
7205,0035670ac33052351e1221e9ba8b83af,1,1,0.046312178,0.304347826,0.184563758,1
92,0000c0e361386f06ef44a29291ccd941,1,1,0.025728988,0.086956522,0.010067114,0
4189,001eaea28e445548f3fd1d5ddba4a9d8,1,0.048122066,0.046312178,0.043478261,0.184563758,0
623,00049d53ff5959a678cc723fc5d43f5a,1,0.998826291,1,0.173913043,0.214765101,0
6506,002fce66cd2865186124153c1aac50ff,0,1,1,0.086956522,0.214765101,0
6504,002fcbbd2634ae5d7bb4e7536f248480,0,0.998826291,1,0.043478261,0.083892617,0
8994,00438736c7c1082e624668276c91c9db,1,0.998826291,0.050600343,0.043478261,0.281879195,0
9545,004755a48d6c2a48edc78f72ccf5f082,0,1,0.027444254,0.130434783,0.147651007,0
873,0006467f8d1c663f6653d15afd630855,0,0.038732394,0.060034305,0.869565217,1,0
7754,003992c6d0ad58671bcccde41d090c5a,1,1,1,0.173913043,0.291946309,0
931,0006bd836b097aa797f16bf217658c9a,0,1,1,0.52173913,0.38590604,0
1201,0008e0edffbfb86c04dfe6f4f23cf0f7,1,0.998826291,1,0.130434783,0.157718121,0
3634,001a94f0e354155dd80c3be6635108c7,0,0.998826291,1,0.391304348,1,0
6556,003036b982453c0b77227eace31fb809,0,0.998826291,1,0.52173913,0.110738255,0
8205,003d36d81926739db435fe94a9da18fa,1,0.998826291,1,0.217391304,0.157718121,0
1308,0009be4ad6f7e740002e1a1efa825f0a,1,1,1,0.130434783,0.023489933,0
5554,0028c224ab925a3b294adfb28820ea93,1,0.998826291,0.062607204,0.130434783,0.291946309,0
9356,0045db130ee5f12866886610b94dc09d,1,0.998826291,1,0.826086957,0.355704698,0
8733,0041449dcdbf8bef0ea87314bca93192,0,0.998826291,0.025728988,0.086956522,0.38590604,0
9860,0049bd43201eb67612643c074a75a8cf,0,0.998826291,0.034305317,0.304347826,0.355704698,0
7740,0039856c9fb07f6218fd49d67f1ec3f4,0,0.998826291,1,0.217391304,0.291946309,0
1879,000daf61fe3213b783a0658c151b7375,1,0.998826291,1,0.52173913,0.214765101,1
1781,000d1a75ee79f166ae6e6e260bfffdb3,0,0.998826291,0.01457976,0.304347826,0.013422819,0
2512,00126562f340cfff9c5832c2e816254a,0,1,0.027444254,0.086956522,0.016778523,0
8827,00422382a881c007bfea91f86a8393d5,0,0.998826291,1,0.434782609,0.080536913,0
2834,0014de8ee90c97e452f888d316622266,0,0.063380282,0.162950257,0.043478261,0.191275168,0
868,000643fdde4bcd735a34426577810665,1,1,0.042881647,0.130434783,0.023489933,0
1310,0009c2b351aee38b20642da33fea807b,1,0.031690141,1,0.173913043,0.016778523,0
7522,0037d5578aa51e08731d25af77f205c1,1,0.019953052,1,0.086956522,0.355704698,0
4057,001dcf77424902433f5bc3364a44e4cc,1,0.063380282,0.162950257,0.043478261,0.147651007,0
4339,001fbc98142545ee26208b1cb1ef75e4,0,0.048122066,0.046312178,0.086956522,0.184563758,0
7272,0035fb005ddb02664dee271e99b0f7c0,0,1,0.162950257,0.086956522,0.070469799,0
9336,0045b65a20052c38a6fcd7c7c443da59,1,0.998826291,1,0.347826087,0.38590604,1
6968,0033880f6ae1a6b79e47b0e714434138,0,0.998826291,1,0.260869565,1,0
3874,001c5e636ca13bce6f314ec1736646a7,0,1,0.025728988,0.130434783,0.070469799,0
8995,0043894232476546163cd2c02cb3a42b,1,1,0.025728988,0.652173913,0.010067114,1
9160,0044932cb2e99b8a0e7794408a038418,1,1,1,0.304347826,0.214765101,0
6508,002fd25d35a9adf877d22936108d6f3c,1,1,1,0.260869565,0.120805369,0
1257,0009544babd1fcb8ff30557c660960dc,0,1,0.060034305,0.043478261,0.617449664,0
4942,002422956962038b32246b723128c94a,1,0.998826291,0.025728988,0.260869565,0.110738255,0
8871,004279026eaa9a2e561c2aafd1ac8c77,1,0.998826291,1,0.043478261,0.151006711,0
4107,001e306b092498d1af63f6fd1064adf7,1,0.998826291,1,0.086956522,1,0
8096,003c51f1051725038d07bb3696532cf4,0,0.016431925,0.011149228,0.47826087,0.036912752,0
2914,00156e36bfa712b77a654ca3348eae8b,1,0.998826291,1,0.086956522,1,0
7711,00394305b86aee74b68d13afec3f99a3,1,0.998826291,1,0.043478261,1,0
3725,001b3140439a00d7f22a0ee064750b10,0,1,1,0.434782609,0.291946309,0
6569,00305028fd16259ead99cad769766ab7,1,1,1,0.782608696,1,0
4706,0022413ab7fa203a486c8a4e5fdc9ff5,0,1,1,0.173913043,0.020134228,0
7935,003adc366f8e1b5c6eed97768bb49e5e,1,0.019953052,0.060034305,0.826086957,0.110738255,0
6284,002e006279e3b8b64c58e8837bf01b9e,0,1,1,0.217391304,0.006711409,0
2550,0012acbd89ccdd6a0067c3089aa5de9d,1,1,0.162950257,0.260869565,0.291946309,1
6939,00335b6160e79989302ca0ac0836380f,1,0.998826291,1,0.260869565,0.191275168,1
285,000228120784cb674b741a3f7a88609d,0,0.998826291,1,0.043478261,0.191275168,0
7756,003994aa4af909db3d8ec5e7f4b59d0e,1,1,1,0.043478261,0.083892617,0
5528,002880df951ca14fc38e9af23ab8c1e7,1,0.998826291,1,0.173913043,0.157718121,0
4223,001eec689a0358eb23ee7858e7c5e9a2,0,0.031690141,1,0.347826087,0.355704698,0
8938,00430a06fd95acf55433867d733cd31e,1,1,0.011149228,0.260869565,0.080536913,0
5618,002931b1537fd8d1f72215a827687f27,1,0.998826291,1,0.086956522,0.070469799,0
2104,000f2a7f4e5002b036d0e92736a26321,0,0.998826291,1,0.086956522,1,0
4423,002057ca8f63781a96abc9e80c6b7cc9,1,0.038732394,0.060034305,0.869565217,0.281879195,1
598,000467dd10b91f4f277667a42e971cf8,0,0.998826291,1,0.086956522,1,0
3284,001818333f5f23f7776f89aa0d960fe9,0,0.998826291,1,0.304347826,0.281879195,0
3822,001bf6bdc05aa484aca4b516e4ca1242,0,0.998826291,1,0.695652174,0.355704698,0
9940,004a3de63c81eab4ccfa7a4a42f63e9c,0,0.998826291,0.011149228,0.695652174,0.020134228,0
8434,003ee62e78e1a13afc437fa8d662985a,0,0.998826291,1,0.260869565,0.355704698,0
6862,0032b04944582339215f06cd519e1b46,1,0.998826291,1,0.130434783,0.157718121,0
6531,00300154ff93966a0ee9a5c2755ed0da,1,0.015258216,0.046312178,0.043478261,0.184563758,0
5100,00253d5c10fb9fbf724ae91532db3f50,1,1,1,0.434782609,0.080536913,0
3965,001d19401ccca696e51ed3fb5c1a0c3f,0,1,1,0.043478261,0.617449664,0
5258,002663e21209ad2e3351a809ac543885,0,0.998826291,1,0.043478261,1,0
2217,000ff0577bc96a3d55f1938e4f0c3cf5,0,0.048122066,0.011149228,0.043478261,0.046979866,0
5143,002592fb4ce902d254c30d0a518ca3bc,1,0.998826291,1,0.086956522,1,0
6234,002daae825f628463f249eef600d341d,0,0.015258216,0.027444254,0.043478261,0.063758389,0
8813,0042070b7cf0993aca7239b7a570d5c9,1,0.998826291,0.003430532,0.043478261,0.013422819,0
7482,0037810ef270b32c1ef871effdbf71a5,1,0.998826291,1,0.130434783,0.157718121,0
493,0003a79ee4c79292cd638f46b228c244,1,1,1,0.173913043,0.016778523,0
7490,003794337f2ec003a20639b80de394a7,0,1,0.162950257,0.391304348,0.046979866,0
3141,0016ee622390c257de25c88d03281c22,0,0.998826291,1,0.173913043,0.355704698,0
4237,001effcdaa5a087a5cf438b4aa2c19ed,0,1,1,0.086956522,0.38590604,0
120,0000eb596d13fc67cfa8287a0a69f088,0,0.003521127,0.046312178,0.043478261,0.184563758,0
49,0000741c95673865b8783d888627d77b,0,0.998826291,0.042881647,0.086956522,0.006711409,0
8752,0041737b04125321d69629e9edf1f8a6,0,0.998826291,0.062607204,0.086956522,0.38590604,0
9111,00444a825343e1989d8c0258859394ad,0,0.018779343,0.022298456,0.043478261,0.016778523,0
4327,001fa5c46f070ee6f912d8e9d48346d8,0,0.998826291,1,0.086956522,0.214765101,1
8743,004159b7107cac634802159459692521,1,0.998826291,1,0.173913043,0.120805369,0
8011,003b873792710960ae62fd637f62dc10,1,1,0.062607204,0.565217391,0.151006711,0
6097,002ca13188e105410cb41da080a40440,1,1,1,0.434782609,0.10738255,0
709,00052c449f6e070356501951640f251d,1,0.998826291,1,0.086956522,1,0
9962,004a703ff0d844206816133a6f23b1ce,1,0.998826291,1,0.130434783,0.090604027,0
7566,00383574dab3be1607dc46328daec959,1,1,1,0.173913043,0.006711409,0
7296,0036215365d5d929b77418e9112cbe61,0,0.998826291,1,0.086956522,1,0
7988,003b53c2b186d54432dd33218bfd4822,1,0.998826291,1,0.130434783,1,0
458,0003640889c4e1c2735f3d3e94f2c04e,0,0.063380282,0.046312178,0.043478261,0.184563758,0
5097,0025375e27a66f8ee1ea44e6d70aeed6,0,0.998826291,1,0.086956522,0.080536913,0
1092,00080762aec03005a486a4732d66e959,0,0.015258216,0.027444254,0.043478261,0.147651007,0
7998,003b6ac16f7fe73904092af4bae50e19,0,0.998826291,1,0.130434783,1,0
8468,003f27e803e9a9645e55c5d51b39142b,1,1,0.060034305,0.086956522,0.070469799,0
3104,0016aefbd3ca4c464ead3a86b925198e,0,0.998826291,0.060034305,0.043478261,0.38590604,0
3508,0019b4b845a7401109e754acfd68dea5,1,0.048122066,0.050600343,0.130434783,0.617449664,0
2072,000eeb5a28ee0f7efd6bd0ada9ca8601,1,1,1,0.043478261,0.214765101,0
2076,000ef5d962d04242a0b46289a9409bc8,1,0.998826291,0.034305317,0.043478261,0.355704698,0
9917,004a18b68a6f2e586bd63b683869087a,0,0.998826291,0.062607204,0.260869565,0.355704698,0
9242,004514142040169f03205c4ef0800f69,0,1,1,0.173913043,0.214765101,0
1293,00099f725ddb0434b17b6956ca6ae6dd,1,0.998826291,1,0.347826087,1,1
3364,0018b8770ca914bb6f82d6cfb5600743,1,0.998826291,1,0.260869565,1,0
9215,0044e8df63adb8e9e4a289a6f6f0b0ef,0,0.998826291,1,0.086956522,1,0
572,00043c5bf11d3384bb4eb3690888b452,1,0.998826291,1,0.52173913,1,0
554,00040d848eeb3b038d43576f7914b2cc,1,0.998826291,1,0.217391304,0.355704698,0
473,00038782fa9a09ee92058a859f78c4da,1,1,1,0.47826087,0.617449664,0
8566,003fff2e9d98846190a9907483696a39,0,0.998826291,0.027444254,0.347826087,0.191275168,0
607,0004715f72d3c97045989f639fd1e673,0,0.998826291,1,0.173913043,0.157718121,0
2838,0014e711e4f1078e485096487d6b3a40,1,0.998826291,1,0.173913043,0.355704698,0
8721,0041305838c926ee62578bebb03ba0fa,0,1,0.025728988,0.260869565,0.033557047,0
6400,002eff3fe09c2e49998c983a017ae2bf,1,0.005868545,0.01457976,0.043478261,0.043624161,0
3527,0019d4786fc0f856653ab634fc449cc3,0,1,1,0.434782609,0.291946309,0
1010,0007701f818622f986e7cec81d989b10,0,0.998826291,0.02915952,0.086956522,0.110738255,0
9321,0045a4450f3824694592d8acef0a11a4,1,0.048122066,0.050600343,0.043478261,0.617449664,0
2561,0012c1a2e9510dba8297275b6305f62c,0,0.063380282,0.162950257,0.086956522,0.023489933,0
1738,000ccbe0b972ec798ae680231a336270,0,1,1,0.130434783,0.214765101,0
8088,003c3fafd44cb2790e5bf4387dfe0b1a,0,1,1,0.043478261,0.214765101,0
5536,002893f9181f83ff92ca3757a8bd7fc6,1,1,1,0.043478261,1,0
2520,001271409b5d972e0e3e653a0055d8a9,0,0.998826291,1,0.434782609,1,0
3202,0017836d962f100e38bd271559746afb,1,0.998826291,1,0.217391304,0.157718121,0
2416,0011987e6a9d1d179a51e00584cbb86d,1,1,0.017152659,0.652173913,0.013422819,1
2541,00129b8e96fe419371f80ca4abdf0f46,1,1,1,0.130434783,0.281879195,1
7073,003465807ebf3d41055f1446dc2ca5c8,1,0.998826291,1,0.130434783,0.191275168,0
850,0006198037126c893da0f4c91d97f6b0,1,1,1,0.347826087,0.617449664,1
9650,00481ae77ca38f047144df5b7152ba4b,0,1,1,0.043478261,0.617449664,1
8948,004315fb8b2053021e6f3ca0c995a672,1,1,1,0.434782609,0.291946309,0
3894,001c95c34538502de1a2198c2b44a251,1,1,0.162950257,0.391304348,0.617449664,0
2475,001213c845216e62f251c4379a819936,1,0.998826291,1,0.086956522,0.191275168,1
9211,0044dab27a723c414d7c5fd8c13109b6,1,0.998826291,0.034305317,0.086956522,0.090604027,0
8740,0041522f87aa8f8d695046c0d2b912bd,1,1,1,0.608695652,0.617449664,0
561,0004274ad2d2c08b6d0607c27fb5863c,0,0.998826291,1,0.130434783,0.090604027,0
7431,00372c328a223f31e22cf5867f2d9c91,0,1,0.162950257,0.043478261,0.617449664,0
1882,000db0846d5b9eef6a69df2ed8a59b82,0,0.019953052,0.022298456,0.086956522,0.016778523,0
9306,00458e4c27cd50f36c7bdce721d4fb7b,1,1,1,0.130434783,0.214765101,1
6024,002c1f8dcdd6598306dc9d4f30759b54,1,1,1,0.043478261,1,1
8739,00414deb27721a112f5eec67c8792f1d,1,0.998826291,1,0.173913043,1,0
673,0004f36dbcf1cb44fd41bc09e2f1f965,0,1,1,0.434782609,0.214765101,0
6059,002c56571852b69ecae11a92bc9b306a,0,0.998826291,0.062607204,0.391304348,0.083892617,0
9344,0045c37a7732952844210d02e5ed71a6,0,1,0.162950257,0.260869565,0.617449664,0
6305,002e369f651753f433639c5acb349129,0,0.998826291,0.027444254,0.086956522,0.147651007,0
9186,0044c27375a75efbc03c7d8461470d27,1,0.063380282,0.162950257,0.043478261,0.214765101,0
1799,000d39ea44cdeb7d6d6849c602fbd438,0,1,0.02915952,0.52173913,0.110738255,0
8689,0040ee8942adf2ff852e6952f42ac050,1,1,1,0.130434783,0.38590604,0
2307,0010b311eac31ad478f12b60febfd491,1,0.998826291,1,0.173913043,0.291946309,0
2211,000fe8b80d953fe7ecf95526bf1f68d5,0,1,1,0.043478261,1,0
2549,0012ac7f7a6d129ce7a9e7d2e43057a1,1,0.998826291,0.046312178,0.695652174,0.184563758,1
2988,0015e9f2bb07a7f08b61077afbbeefe3,1,1,0.027444254,0.086956522,0.291946309,1
5014,0024904ecc9101a6b2495a0daa0325ac,0,1,1,0.217391304,0.38590604,0
890,00066827a402cb63954dbaa44f517970,0,1,0.011149228,0.043478261,0.080536913,0
8055,003bed1ab8359c13c4aa8d7b7fea5ff6,1,0.998826291,1,0.086956522,1,0
8652,00409fb1a3371c645c0f5a3861077f7f,1,1,1,0.043478261,0.617449664,0
9810,004937a12ba77990482786841c9ac9e3,0,0.998826291,1,0.173913043,1,0
3092,00169accd851518a09d894697f4824b0,1,1,1,0.130434783,0.38590604,0
4119,001e42b3295dd85c1a8ee62ef90ac1b0,1,0.048122066,0.050600343,0.043478261,0.214765101,0
4854,00236e0c35e3aad30017003a7c1b1f27,0,0.998826291,1,0.260869565,0.281879195,0
6452,002f6a8faf3e14bf8c9df0c62d9c4351,1,1,0.162950257,0.086956522,0.214765101,0
4726,00226ee10adf3e5171eba5dba7b003d9,1,1,1,1,0.617449664,0
3554,001a015e78be33d9a174b83b3b6390f0,0,0.019953052,0.017152659,0.043478261,0.013422819,0
3492,00199e1e3b5c6b6afbfb63e69fbbdc76,1,0.998826291,1,0.130434783,1,0
6156,002d1ec22924316cfd3fc8781905e32e,0,1,0.162950257,0.086956522,0.214765101,0
6080,002c75a13da110cae7b13776bb290dca,1,0.998826291,1,0.086956522,0.214765101,0
3775,001b97c7f30bc834f718060988a4f1bd,0,1,1,0.086956522,0.617449664,0
6277,002df5bee22447f4c2e9dc5f36281808,0,0.998826291,1,0.043478261,0.38590604,0
2420,0011a0e404f16ba9a64dcc82974a3ba8,0,0.998826291,1,0.130434783,1,0
4656,0021f5f9040320bde0584a4018d24dd3,1,1,1,1,0.38590604,0
8220,003d5ba7970cabbed71933503c42847a,0,0.998826291,1,0.130434783,1,0
8100,003c5cb9964ad560af6ed91da6219428,1,1,0.042881647,1,0.083892617,1
8676,0040dcf762326fd54a04ca7da48b7a38,0,0.998826291,1,0.043478261,1,0
9004,0043a1d8b2b541795a0e9343050a706e,0,1,0.162950257,0.304347826,0.291946309,0
4229,001ef3122f91d17c994c24353c6420af,1,1,0.162950257,0.217391304,0.617449664,0
5207,00261771a74e628bd45f4fa3ba68f489,0,0.998826291,1,0.130434783,0.147651007,0
7475,003774ae1542969b4a407f9a3cbe5686,1,0.998826291,0.017152659,0.217391304,0.006711409,0
8245,003d94aafd7aaebee893fce9fb9c9b89,0,0.998826291,0.034305317,0.086956522,0.355704698,1
5457,0027ee122509a4fd352f21867ed6d3c4,1,1,0.01457976,0.217391304,0.214765101,0
1350,000a1062a7fe7edeb87e90dbd00c939a,0,1,1,0.391304348,0.617449664,0
1551,000b8f024c05140f950c7534f88670ec,0,1,0.046312178,1,0.184563758,0
7819,0039feba03da806aa9423bf074b3246e,0,0.998826291,1,0.130434783,1,0
8625,0040726efa30e60cad7f168fd1cd8af2,0,0.998826291,1,0.173913043,0.157718121,0
3581,001a34e4bca5e0c7a0d1ff84fd614277,0,0.998826291,1,0.130434783,1,0
2965,0015bb043c72e4ea35b073beac3cb1b4,0,0.038732394,0.02915952,0.043478261,0.110738255,0
8471,003f2bcb7a1f3db2ed6438f08b3034c2,1,0.018779343,0.025728988,0.043478261,0.026845638,0
2412,00118fb6778af064fad824ac5b595b7a,1,0.998826291,1,0.086956522,0.063758389,0
1045,0007a877cbc9772785b82b9b7b334f70,0,1,0.011149228,0.217391304,0.036912752,0
7628,0038a88b5f0f9953b570cdccb8ceb60a,1,0.998826291,1,0.086956522,0.214765101,1
2898,001555c732bcd1ea6f55e09af85b443c,0,0.998826291,1,0.173913043,0.147651007,0
7063,003453603925f63e6d1ad137a7c9b25c,1,0.998826291,1,0.434782609,0.083892617,0
8959,00432b2f07dfc16936bbcb66f76f68df,0,0.998826291,1,0.086956522,0.355704698,0
9868,0049ca593aeebaed359861f8856a9bc6,1,0.015258216,0.027444254,0.043478261,0.147651007,0
4097,001e1d242dede6d22a4e7e878bb497b0,0,1,0.050600343,0.652173913,0.191275168,0
4035,001dae82c1bc3d958025ef72655a98da,0,0.998826291,1,0.217391304,1,0
2951,0015a96bf4c56e2fc8e7ba137c75e539,1,0.998826291,1,0.086956522,1,0
9380,00460cc2569bbdadeb263edb509678b5,1,1,1,0.434782609,0.617449664,0
2132,000f56baa823feff4dcb1d68001c7f5d,0,1,1,0.043478261,0.070469799,0
9474,0046c526992f2e26fe1304e3396568ec,0,1,1,0.043478261,0.617449664,0
4427,00205f839f99a246aaa7aa9f7da1ccb4,0,0.998826291,1,0.260869565,1,0
8749,004169ef0a29cf7739c5d878eb59ee2b,0,1,1,0.130434783,0.214765101,0
6106,002caf000a0daa5d7b81dd134a69f7da,1,0.998826291,0.060034305,0.043478261,0.110738255,1
4593,0021a39ad600d4fdc16ff88b29e0c642,1,0.998826291,1,0.130434783,1,0
1291,0009980d7ea0afb6bb15c188b051f38b,0,1,0.062607204,0.086956522,0.291946309,0
1358,000a19c8c9b5a389f8d0d319e0f6f978,0,1,0.01457976,0.434782609,0.043624161,0
4774,0022c40b164a01ac8bbcfa10c8f40c0f,1,0.998826291,1,0.130434783,0.281879195,0
5690,0029c0062b4f9325bc09a60c458fa5fe,1,0.998826291,1,0.217391304,1,1
3976,001d2b8632955a17e8d31f66fb85b416,0,1,0.046312178,0.043478261,0.184563758,1
8048,003be32f34f2a6c6dd4bdba035632e4d,1,0.998826291,1,0.043478261,1,0
2594,001307aca99bd7cd333fd066504c5b5a,1,0.998826291,1,0.086956522,0.016778523,0
8781,0041c0a40fc239c5d3bf3f9a2f8e476c,0,1,0.034305317,0.130434783,1,0
1800,000d3a346f773deac5fccbd4b2361c27,1,1,0.062607204,0.652173913,0.38590604,0
7731,0039718435acc1ee630c540fe7d9c53b,0,1,0.162950257,0.217391304,0.291946309,0
2479,00121c5fc28349479e7a3a0026a7a1e2,1,1,0.025728988,0.086956522,0.070469799,0
3811,001be86df041d2be329ef74905c09420,1,1,1,0.347826087,0.617449664,0
846,0006115f79762615ee2044fa689d19e3,0,0.998826291,1,0.260869565,0.191275168,0
4932,00240d115ca35c0334a8d87b72fd507c,0,0.998826291,1,0.826086957,0.617449664,0
9556,004766dc133a3275cd87db6db37a3490,0,0.998826291,1,0.173913043,1,0
6340,002e76786c81da4775eab5d97e273bc4,0,1,1,0.304347826,0.214765101,0
8705,00411030957e92cbca1578cbb72c497c,0,0.016431925,0.011149228,0.47826087,0.016778523,0
2036,000eb9c4610fd7b777e0d4f265ff03b6,0,0.998826291,0.027444254,0.086956522,0.006711409,0
8996,00438b45dc6fbf268f92fdd786ebff58,0,0.001173709,0.017152659,0.043478261,0.030201342,0
401,0002fcd2211ee583c39df6def8fd484b,0,1,0.162950257,0.086956522,0.281879195,0
9072,00440744ab64e87dbf34ab26dd783275,0,1,1,0.086956522,0.147651007,0
7328,003665f271e9d61c991857cfe54a0d95,1,1,0.062607204,0.217391304,0.10738255,0
4186,001eaa7e425eb1412827297e02f65c3d,1,1,1,0.260869565,0.10738255,0
9020,0043b7e631bbc31396020471c77f85ab,1,1,1,0.043478261,0.617449664,1
8512,003f81c540f25242640a6e01e288251a,0,0.019953052,0.062607204,0.47826087,0.38590604,0
4928,00240a0d9a4b20bf0a89e8ec1ea8a390,0,0.998826291,1,0.086956522,0.355704698,0
3997,001d551b347989e0b90cff82e48cbbdd,1,0.038732394,0.022298456,0.043478261,0.033557047,0
4943,002422e2308304501dc60b6cf9798509,1,0.998826291,1,0.260869565,0.38590604,1
3147,0016f9a956b5b7ab80dccaf7c96a59b9,1,0.998826291,1,0.173913043,0.023489933,0
5048,0024cc0d74a0e17497544494b79c4c79,1,1,0.162950257,0.391304348,0.033557047,0
1776,000d13a2259961eb48b7a2d15585cf18,0,0.998826291,1,0.086956522,1,0
6978,0033a1106e6067e4345e9d8183df5482,1,1,0.027444254,0.260869565,0.120805369,0
73,0000a67d760d31bb2c5af195b4627ac4,0,0.998826291,1,0.130434783,0.023489933,0
1575,000bbb1b53467f4782938093daf29010,0,1,0.162950257,0.173913043,0.120805369,0
4160,001e7e389a16d27c00d6b325006c28bb,0,1,1,0.086956522,0.617449664,0
8369,003e5c086696b6bd5607691859c904ad,0,0.019953052,0.060034305,0.043478261,0.070469799,0
5616,00292ede71c40ae09efb3bea0e8e7b16,1,0.998826291,1,0.304347826,0.080536913,0
5473,0028109e1276c88cf40ea165824fba87,0,0.005868545,0.006861063,0.043478261,0.026845638,0
7095,003495553480302d938879f7b4f91b24,1,0.998826291,1,0.52173913,1,0
8054,003bec0ba8884f5c9ef95d385b332936,1,1,1,0.086956522,1,1
5867,002afae0c4d71349610bae9f0d73fcd6,0,0.016431925,0.017152659,0.043478261,0.030201342,0
4614,0021c3fe9cfd2558e3895559df1d5d03,0,0.998826291,0.162950257,0.304347826,1,0
8651,00409f32711e33e32b4d84782d410e08,1,1,1,0.173913043,0.010067114,0
1650,000c34de5f6050610deb51bac6b5da9a,1,1,1,0.086956522,1,0
1857,000d8a56e397e85b5ffaf53f8ec9f3bb,0,0.998826291,1,0.130434783,0.090604027,0
5350,002714b3b064e93b85eb7e4fc5844bdb,0,1,0.162950257,0.086956522,0.291946309,0
233,0001bf81338f755715e05890de7dffe9,0,1,1,0.434782609,0.214765101,0
3171,00172edbf2d352a8441381056e2c811c,0,1,1,0.260869565,0.617449664,0
370,0002cbed1a1f4cddb87fa99a6dfc7625,1,1,0.162950257,0.391304348,0.070469799,0
1718,000ca471f83b591bd4c917a2b7223bdb,1,0.048122066,0.050600343,0.217391304,0.355704698,0
